utterance,intent,category,length
punya masalah batal pesan akhir saya buat,cancel_order,ORDER,7
bisa cerita batal pesan,cancel_order,ORDER,4
cerita batal pesan,cancel_order,ORDER,3
bagaimana bisa temu informasi batal pesan,cancel_order,ORDER,6
bagaimana bisa batal pesan,cancel_order,ORDER,4
tidak bayar pesan akhir,cancel_order,ORDER,4
mungkin batal pesan telah buat,cancel_order,ORDER,5
perlu bantu batal pesan telah buat,cancel_order,ORDER,6
tanya batal pesan telah buat,cancel_order,ORDER,5
cerita lebih banyak batal pesan,cancel_order,ORDER,5
butuh bantu batal pesan akhir,cancel_order,ORDER,5
tanya batal pesan akhir saya buat,cancel_order,ORDER,6
harus batal pesan akhir saya buat,cancel_order,ORDER,6
masalah batal pesan akhir,cancel_order,ORDER,4
ingin batal pesan saya buat,cancel_order,ORDER,5
bisa bantu batal pesan telah buat,cancel_order,ORDER,6
bisa cerita lebih banyak batal pesan,cancel_order,ORDER,6
perlu bantu batal pesan akhir,cancel_order,ORDER,5
tidak tahu bagaimana bisa batal pesan saya buat,cancel_order,ORDER,8
harus batal pesan telah buat,cancel_order,ORDER,5
bagaimana bisa dapat informasi batal pesan,cancel_order,ORDER,6
mana batal pesan saya buat,cancel_order,ORDER,5
tidak tahu bagaimana batal pesan telah buat,cancel_order,ORDER,7
mana bisa batal pesan telah buat,cancel_order,ORDER,6
mes batal,cancel_order,ORDER,2
punya masalah batal pesan telah buat,cancel_order,ORDER,6
bagaimana cara batal pesan telah buat,cancel_order,ORDER,6
punya tanya batal pesan akhir saya buat,cancel_order,ORDER,7
coba batal pesan akhir saya buat,cancel_order,ORDER,6
masalah tambah item pesan,change_order,ORDER,4
tidak tahu bagaimana bisa tambah item,change_order,ORDER,6
punya tanya ubah pesan,change_order,ORDER,4
bagaimana cara ubah pesan,change_order,ORDER,4
ingin bantu ubah urut saya buat,change_order,ORDER,6
tambah produk pesan akhir,change_order,ORDER,4
butuh bantu tambah beberapa item,change_order,ORDER,5
coba ubah pesan akhir,change_order,ORDER,4
bantu ubah pesan,change_order,ORDER,3
mungkin ubah pesan telah buat,change_order,ORDER,5
coba ubah beberapa item suatu pesan,change_order,ORDER,6
ingin bantu ubah pesan telah buat,change_order,ORDER,6
bisa bantu ubah pesan,change_order,ORDER,4
lupa serta item,change_order,ORDER,3
harus ubah pesan,change_order,ORDER,3
punya masalah ubah beberapa item pesan,change_order,ORDER,6
ingin ubah,change_order,ORDER,2
harus hapus,change_order,ORDER,2
tanya ubah pesan,change_order,ORDER,3
harus hapus beberapa item pesan,change_order,ORDER,5
bagaimana cara hapus beberapa item pesan,change_order,ORDER,6
ingin bantu ubah item pesan,change_order,ORDER,5
harus tambah beberapa item pesan,change_order,ORDER,5
ingin tambah beberapa item pesan,change_order,ORDER,5
tidak tahu bagaimana bisa ubah beberapa item suatu pesan,change_order,ORDER,9
perlu tambah beberapa item pesan,change_order,ORDER,5
bantu tambah beberapa item pesan,change_order,ORDER,5
tidak tahu bagaimana bisa tambah,change_order,ORDER,5
ingin bantu hapus dari suatu pesan,change_order,ORDER,6
masalah tambah beberapa item dalam pesan,change_order,ORDER,6
tidak tahu bagaimana bisa hapus beberapa item pesan,change_order,ORDER,8
butuh bantu tambah item,change_order,ORDER,4
bisa bantu hapus item,change_order,ORDER,4
tidak hapus beberapa item pesan,change_order,ORDER,5
harus hapus beberapa item,change_order,ORDER,4
masalah hapus beberapa item pesan,change_order,ORDER,5
bisa bantu hapus beberapa item pesan,change_order,ORDER,6
bantu hapus item pesan,change_order,ORDER,4
ingin ubah pesan akhir,change_order,ORDER,4
butuh bantu hapus beberapa item,change_order,ORDER,5
bisa bantu tambah ke pesan,change_order,ORDER,5
bantu ubah beberapa item suatu pesan,change_order,ORDER,6
ingin bantu ubah beberapa item pesan,change_order,ORDER,6
milik masalah hapus dari pesan,change_order,ORDER,5
informasi ubah pesan,change_order,ORDER,3
barang saya beli bukan saya ingin,change_order,ORDER,6
punya masalah hapus beberapa item,change_order,ORDER,5
bantu untuk hapus beberapa item pesan,change_order,ORDER,6
butuh bantu ubah pesan,change_order,ORDER,4
coba ubah item pesan,change_order,ORDER,4
coba ubah pesan akhir saya buat,change_order,ORDER,6
mungkin ubah pesan,change_order,ORDER,3
bisa bantu hapus beberapa item,change_order,ORDER,5
telah lewat beberapa item pesan,change_order,ORDER,5
bagaimana cara hapus beberapa item,change_order,ORDER,5
mau beri informasi ubah pesan,change_order,ORDER,5
milik masalah ubah urut telah buat,change_order,ORDER,6
bantu ubah pesan akhir saya buat,change_order,ORDER,6
bantu hapus beberapa item,change_order,ORDER,4
ingin hapus,change_order,ORDER,2
bantu hapus beberapa item pesan,change_order,ORDER,5
masalah hapus dari suatu pesan,change_order,ORDER,5
milik masalah tambah,change_order,ORDER,3
tidak tahu bagaimana bisa ubah item pesan,change_order,ORDER,7
punya tanya ubah pesan akhir saya buat,change_order,ORDER,7
ingin bantu ubah pesan,change_order,ORDER,4
bisa tambah ke pesan,change_order,ORDER,4
mungkin ubah,change_order,ORDER,2
tidak tahu bagaimana bisa tambah beberapa item,change_order,ORDER,7
perlu bantu hapus beberapa item pesan,change_order,ORDER,6
bisa ubah pesan saya buat,change_order,ORDER,5
harus ubah beberapa item pesan,change_order,ORDER,5
ingin hapus item pesan,change_order,ORDER,4
punya masalah ubah pesan akhir,change_order,ORDER,5
bantu ubah suatu pesan,change_order,ORDER,4
bisa bantu tambah beberapa item dalam pesan,change_order,ORDER,7
ingin bantu tambah beberapa item dalam pesan,change_order,ORDER,7
ingin bantu ubah pesan akhir saya buat,change_order,ORDER,7
perlu bantu tambah beberapa item,change_order,ORDER,5
perlu bantu tambah item pesan,change_order,ORDER,5
lupa masuk beberapa item pesan,change_order,ORDER,5
bisa bantu ubah pesan akhir,change_order,ORDER,5
ingin bantu tambah,change_order,ORDER,3
lewat beberapa item,change_order,ORDER,3
coba tambah ke pesan,change_order,ORDER,4
tidak tahu bagaimana ubah beberapa item suatu pesan,change_order,ORDER,8
bisa ubah pesan akhir,change_order,ORDER,4
bantu ubah pesan saya buat,change_order,ORDER,5
tidak tahu bagaimana bisa tambah item pesan,change_order,ORDER,7
milik masalah tambah beberapa item dalam pesan,change_order,ORDER,7
milik masalah ubah pesan,change_order,ORDER,4
bisa hapus beberapa item,change_order,ORDER,4
tidak ubah beberapa item suatu pesan,change_order,ORDER,6
bisa bantu tambah beberapa item,change_order,ORDER,5
tanya ubah urut saya buat,change_order,ORDER,5
punya masalah hapus,change_order,ORDER,3
butuh bantu ubah pesan telah buat,change_order,ORDER,6
bisa bantu ubah pesan akhir saya buat,change_order,ORDER,7
ingin ubah pesan akhir saya buat,change_order,ORDER,6
ingin bantu hapus beberapa item pesan,change_order,ORDER,6
ingin hapus beberapa item,change_order,ORDER,4
harus tambah beberapa item,change_order,ORDER,4
harus tambah,change_order,ORDER,2
tidak tahu bagaimana tambah,change_order,ORDER,4
bantu tambah item pesan,change_order,ORDER,4
punya masalah tambah item,change_order,ORDER,4
bisa bantu hapus dari pesan,change_order,ORDER,5
butuh bantu hapus,change_order,ORDER,3
coba hapus dari pesan,change_order,ORDER,4
bantu ubah item pesan,change_order,ORDER,4
mungkin hapus item,change_order,ORDER,3
coba tambah,change_order,ORDER,2
bagaimana cara ubah beberapa item pesan,change_order,ORDER,6
bagaimana cara tambah,change_order,ORDER,3
bisa hapus beberapa item pesan,change_order,ORDER,5
punya tanya ubah pesan saya buat,change_order,ORDER,6
perlu bantu ubah beberapa item suatu pesan,change_order,ORDER,7
tidak ubah pesan akhir,change_order,ORDER,4
tidak tahu cara hapus beberapa item pesan,change_order,ORDER,7
butuh bantu hapus beberapa item pesan,change_order,ORDER,6
bisa bantu hapus,change_order,ORDER,3
bagaimana cara tambah ke pesan,change_order,ORDER,5
masalah ubah pesan,change_order,ORDER,3
butuh bantu ubah pesan saya buat,change_order,ORDER,6
harus ubah pesan akhir,change_order,ORDER,4
ubah pesan,change_order,ORDER,2
ingin bantu tambah beberapa item,change_order,ORDER,5
bagaimana bisa dapat informasi ubah pesan,change_order,ORDER,6
beli barang salah,change_order,ORDER,3
ubah beberapa item pesan,change_order,ORDER,4
bisa tambah item pesan,change_order,ORDER,4
tambah beberapa item pesan,change_order,ORDER,4
bantu tambah item,change_order,ORDER,3
bantu tambah beberapa item,change_order,ORDER,4
milik masalah hapus,change_order,ORDER,3
tidak tahu cara hapus item,change_order,ORDER,5
bagaimana bisa ubah item pesan,change_order,ORDER,5
bagaimana cara tambah item pesan,change_order,ORDER,5
tidak hapus beberapa item,change_order,ORDER,4
tidak tahu bagaimana bisa hapus item pesan,change_order,ORDER,7
perlu ubah pesan akhir,change_order,ORDER,4
bisa tambah,change_order,ORDER,2
bantu hapus item,change_order,ORDER,3
bantu ubah urut saya buat,change_order,ORDER,5
bantu tambah,change_order,ORDER,2
ingin bantu ubah pesan akhir,change_order,ORDER,5
masalah ubah beberapa item suatu pesan,change_order,ORDER,6
ingin bantu hapus item,change_order,ORDER,4
ingin bantu ubah pesan saya buat,change_order,ORDER,6
butuh bantu hapus item,change_order,ORDER,4
tidak tambah beberapa item,change_order,ORDER,4
butuh bantu hapus dari pesan,change_order,ORDER,5
punya tanya ubah urut telah buat,change_order,ORDER,6
ingin bantu hapus item pesan,change_order,ORDER,5
mungkin ubah pesan saya buat,change_order,ORDER,5
ingin informasi ubah pesan,change_order,ORDER,4
tidak tahu cara hapus item pesan,change_order,ORDER,6
bisa bantu ubah pesan telah buat,change_order,ORDER,6
masalah tambah item,change_order,ORDER,3
mungkin tambah beberapa item pesan,change_order,ORDER,5
perintah ubah,change_order,ORDER,2
harus ubah pesan saya buat,change_order,ORDER,5
bagaimana cara ubah pesan akhir saya buat,change_order,ORDER,7
perlu ubah pesan akhir saya buat,change_order,ORDER,6
butuh informasi pesan,change_order,ORDER,3
tidak tambah beberapa item pesan,change_order,ORDER,5
tidak ubah pesan,change_order,ORDER,3
bantu ubah pesan telah buat,change_order,ORDER,5
bagaimana cara tambah beberapa item pesan,change_order,ORDER,6
ingin bantu ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
perlu ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
tidak tahu cara ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
bisa beri tahu lebih banyak ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,8
butuh bantu coba modifikasi alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
harus edit alamat,change_shipping_address,SHIPPING_ADDRESS,3
apa perlu laku baik alamat,change_shipping_address,SHIPPING_ADDRESS,5
mungkin ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,3
bisa cerita ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
masalah ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
harus ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
bisa uhelp modifikasi alamat,change_shipping_address,SHIPPING_ADDRESS,4
alamat telah ubah bantu ubah,change_shipping_address,SHIPPING_ADDRESS,5
milik salah koreksi alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
pilih alamat kirim salah salah,change_shipping_address,SHIPPING_ADDRESS,5
ingin tahu lebih banyak ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,7
perlu bantu ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
perlu bantu coba edit alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
tidak tahu buat apa edit alamat,change_shipping_address,SHIPPING_ADDRESS,6
milik masalah coba ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
pilih alamat kirim salah,change_shipping_address,SHIPPING_ADDRESS,4
bisa cerita lebih banyak ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,7
milik salah baru alamat kirim sial,change_shipping_address,SHIPPING_ADDRESS,6
bagaimana cara ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
tidak tahu buat apa ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,7
tidak tahu bagaimana ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
cari informasi ubah alamat,change_shipping_address,SHIPPING_ADDRESS,4
bantu ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
milik masalah ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
ingin tahu lebih banyak baru alamat kirim,change_shipping_address,SHIPPING_ADDRESS,7
ingin tahu ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
perlu informasi ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
bisa beri informasi ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
tidak tahu buat apa modifikasi alamat kirim,change_shipping_address,SHIPPING_ADDRESS,7
ingin ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
beri informasi edit alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
dukung coba edit alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
alamat kirim ubah,change_shipping_address,SHIPPING_ADDRESS,3
telah kirim alamat kirim salah baru,change_shipping_address,SHIPPING_ADDRESS,6
bantu koreksi alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
ingin dukung baru alamat,change_shipping_address,SHIPPING_ADDRESS,4
milik alamat kirim salah bagaimana cara baik,change_shipping_address,SHIPPING_ADDRESS,7
cerita lebih banyak ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
bisa bantu ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
perlu bantu baru alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
ingin informasi ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
mungkin edit alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
tidak baru alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
bantu coba baik alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
apa perlu laku edit alamat,change_shipping_address,SHIPPING_ADDRESS,5
tidak baik alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
harus baru alamat kirim bisa dapat bantu,change_shipping_address,SHIPPING_ADDRESS,7
telah pilih alamat kirim salah,change_shipping_address,SHIPPING_ADDRESS,5
informasi ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
cari informasi modifikasi alamat,change_shipping_address,SHIPPING_ADDRESS,4
milik masalah coba baik alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
tanya ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
tidak ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
butuh dukung coba edit alamat,change_shipping_address,SHIPPING_ADDRESS,5
bisa bantu baik alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
perlu bantu coba baru alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
punya tanya ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
bantu edit alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
tidak dukung baik alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
cari informasi ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
cerita ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
mana ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
tidak tahu bagaimana bisa ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,7
telah tempat alamat lama cara sengaja,change_shipping_address,SHIPPING_ADDRESS,6
tidak laku alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
butuh bantu edit alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
coba edit alamat,change_shipping_address,SHIPPING_ADDRESS,3
tidak tahu apa perlu laku edit alamat kirim,change_shipping_address,SHIPPING_ADDRESS,8
tidak tahu apa harus laku baik alamat kirim,change_shipping_address,SHIPPING_ADDRESS,8
informasi baru alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
sulit coba modifikasi alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
bagaimana cara baik alamat,change_shipping_address,SHIPPING_ADDRESS,4
milik salah coba baru alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
apa perlu laku ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
perlu modifikasi alamat kirim gagal,change_shipping_address,SHIPPING_ADDRESS,5
apa harus laku ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
coba ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
milik masalah coba baik alamat,change_shipping_address,SHIPPING_ADDRESS,5
beri informasi ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
ingin bantu ubah alamat,change_shipping_address,SHIPPING_ADDRESS,4
masalah coba baik alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
butuh dukung koreksi alamat kirim baik,change_shipping_address,SHIPPING_ADDRESS,6
mana bisa dapat informasi ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,7
dukung coba baik alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
temu informasi ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
edit salah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
pilih alamat kirim salah tidak sengaja dapat baik,change_shipping_address,SHIPPING_ADDRESS,8
tidak tahu bagaimana dapat edit alamat,change_shipping_address,SHIPPING_ADDRESS,6
masalah baru alamat,change_shipping_address,SHIPPING_ADDRESS,3
perlu bantu coba ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
bisa ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
masalah baru alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
tidak tahu apa harus laku baik alamat,change_shipping_address,SHIPPING_ADDRESS,7
butuh bantu ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
mana bisa ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
tempat alamat lama cara sengaja,change_shipping_address,SHIPPING_ADDRESS,5
milik masalah coba modifikasi alamat,change_shipping_address,SHIPPING_ADDRESS,5
mana dapat ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
telah pilih alamat kirim salah salah,change_shipping_address,SHIPPING_ADDRESS,6
bagaimana bisa dapat informasi ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,7
ingin baru alamat,change_shipping_address,SHIPPING_ADDRESS,3
alamat kirim telah ubah,change_shipping_address,SHIPPING_ADDRESS,4
ingin dukung coba baru alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
cerita lebih banyak baru alamat,change_shipping_address,SHIPPING_ADDRESS,5
alamat kirim ubah uchange,change_shipping_address,SHIPPING_ADDRESS,4
ingin dukung modifikasi alamat,change_shipping_address,SHIPPING_ADDRESS,4
bantu ubah alamat,change_shipping_address,SHIPPING_ADDRESS,3
bagaimana cara temu informasi edit alamat sial,change_shipping_address,SHIPPING_ADDRESS,7
bantu coba ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
dukung coba ubah alamat sial,change_shipping_address,SHIPPING_ADDRESS,5
bagaimana cara modifikasi alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
milik masalah baru alamat,change_shipping_address,SHIPPING_ADDRESS,4
bantu baik alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
baru alamat,change_shipping_address,SHIPPING_ADDRESS,2
perlu informasi modifikasi alamat,change_shipping_address,SHIPPING_ADDRESS,4
harus ubah alamat kirim butuh bantu,change_shipping_address,SHIPPING_ADDRESS,6
bagaimana dapat temu informasi ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,7
telah tempat alamat lama tidak sengaja,change_shipping_address,SHIPPING_ADDRESS,6
tidak buat koordinasi alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
ingin bantu baru alamat,change_shipping_address,SHIPPING_ADDRESS,4
butuh dukung coba baru alamat kirim,change_shipping_address,SHIPPING_ADDRESS,6
masalah coba baru alamat kirim,change_shipping_address,SHIPPING_ADDRESS,5
bisa beri tahu tentang ubah alamat kirim,change_shipping_address,SHIPPING_ADDRESS,7
perlu modifikasi alamat kirim,change_shipping_address,SHIPPING_ADDRESS,4
biaya batal,check_cancellation_fee,CANCELLATION_FEE,2
ingin bantu periksa biaya tari,check_cancellation_fee,CANCELLATION_FEE,5
bantu periksa biaya batal,check_cancellation_fee,CANCELLATION_FEE,4
ingin bantu periksa biaya batal,check_cancellation_fee,CANCELLATION_FEE,5
periksa biaya batal,check_cancellation_fee,CANCELLATION_FEE,3
perlu lihat biaya henti bantu,check_cancellation_fee,CANCELLATION_FEE,5
ingin bantu lihat biaya tari,check_cancellation_fee,CANCELLATION_FEE,5
bisa periksa biaya batal,check_cancellation_fee,CANCELLATION_FEE,4
butuh bantu lihat hukum batal,check_cancellation_fee,CANCELLATION_FEE,5
bisa bantu periksa biaya batal,check_cancellation_fee,CANCELLATION_FEE,5
harus lihat biaya batal,check_cancellation_fee,CANCELLATION_FEE,4
tidak temu biaya henti dapat dapat bantu,check_cancellation_fee,CANCELLATION_FEE,7
bantu periksa hukum terminasi awal,check_cancellation_fee,CANCELLATION_FEE,5
ingin bantu lihat hukum batal,check_cancellation_fee,CANCELLATION_FEE,5
bagaimana cara lihat biaya batal,check_cancellation_fee,CANCELLATION_FEE,5
butuh bantu lihat biaya henti awal,check_cancellation_fee,CANCELLATION_FEE,6
tidak tahu buat apa lihat tuntut keluar awal,check_cancellation_fee,CANCELLATION_FEE,8
ingin periksa biaya batal,check_cancellation_fee,CANCELLATION_FEE,4
tidak tahu apa perlu laku periksa biaya keluar awal,check_cancellation_fee,CANCELLATION_FEE,9
bantu lihat hukum batal,check_cancellation_fee,CANCELLATION_FEE,4
berapa banyak akan tagih jika langgar kontrak,check_cancellation_fee,CANCELLATION_FEE,7
ingin bantu periksa biaya henti awal,check_cancellation_fee,CANCELLATION_FEE,6
mau tunjuk biaya batal,check_cancellation_fee,CANCELLATION_FEE,4
butuh bantu lihat hukum tari,check_cancellation_fee,CANCELLATION_FEE,5
perlu periksa penalti batal bagaimana cara laku,check_cancellation_fee,CANCELLATION_FEE,7
bagaimana lihat hukum akhir,check_cancellation_fee,CANCELLATION_FEE,4
perlu bantu periksa biaya batal,check_cancellation_fee,CANCELLATION_FEE,5
bagaimana cara periksa biaya terminasi,check_cancellation_fee,CANCELLATION_FEE,5
butuh bantu periksa biaya henti awal,check_cancellation_fee,CANCELLATION_FEE,6
apa perlu laku periksa biaya henti awal,check_cancellation_fee,CANCELLATION_FEE,7
bisa tunjuk biaya batal,check_cancellation_fee,CANCELLATION_FEE,4
coba lihat tuduh putus dini kutuk,check_cancellation_fee,CANCELLATION_FEE,6
ingin bantu periksa biaya henti,check_cancellation_fee,CANCELLATION_FEE,5
tidak temu hukum terminasi awal,check_cancellation_fee,CANCELLATION_FEE,5
bantu untuk lihat biaya tari,check_cancellation_fee,CANCELLATION_FEE,5
tidak tahu apa harus laku lihat biaya batal,check_cancellation_fee,CANCELLATION_FEE,8
coba lihat hukum terminasi awal,check_cancellation_fee,CANCELLATION_FEE,5
tidak temu biaya batal,check_cancellation_fee,CANCELLATION_FEE,4
mana lihat biaya tari,check_cancellation_fee,CANCELLATION_FEE,4
mana batal biaya keluar awal,check_cancellation_fee,CANCELLATION_FEE,5
bagaimana bisa periksa biaya batal,check_cancellation_fee,CANCELLATION_FEE,5
